cateid_website	cateid_ntsbase
51	09
50	08
49	07
48	06
47	05
46	04
45	03
44	02
43	01
52	01.001
53	01.002
54	02.001
55	02.002
56	02.003
57	02.004
58	02.005
59	02.006
60	03.001
61	03.002
62	03.003
63	03.004
64	03.005
65	03.006
66	03.007
67	03.008
68	03.009
69	03.010
70	03.011
71	03.012
72	03.013
73	03.014
74	03.015
75	04.001
76	04.002
77	04.003
78	04.004
79	05.001
80	05.002
81	05.003
82	05.004
83	05.005
84	05.006
85	06.001
86	06.002
87	06.003
88	06.004
89	06.005
90	06.006
91	07.001
92	07.002
93	07.003
94	07.004
95	07.005
96	07.006
97	07.007
98	07.008
99	08.001
100	08.002
101	08.003
102	08.004
103	08.005
104	08.006
105	08.007
106	08.008
107	09.001
108	09.002
109	09.003
110	09.004
111	09.005
